user_id,prediction
1,0
2,1
3,1
4,2
5,2
6,2
7,2
8,2
9,2
10,1
11,0
12,1
13,2
14,1
15,0
16,1
17,1
18,2
19,0
20,0
21,1
22,1
23,1
24,2
25,2
26,2
27,1
28,1
29,2
30,1
31,2
32,1
33,2
34,0
35,2
36,0
37,0
38,0
39,1
40,0
41,1
42,1
43,1
44,2
45,2
46,2
47,1
48,1
49,1
50,1
51,1
52,1
53,2
54,2
55,1
56,0
57,1
58,1
59,1
60,0
61,0
62,2
63,1
64,1
65,2
66,2
67,0
68,0
69,2
70,1
71,2
72,0
73,1
74,2
75,0
76,0
77,2
78,1
79,0
80,0
81,1
82,2
83,1
84,0
85,1
86,1
87,1
88,1
89,2
90,2
91,1
92,1
93,1
94,2
95,2
96,1
97,2
98,2
99,1
100,2
