ad_id,target_segment,ad_content,click_through_rate
AD534,Business Class,Budget-Friendly Vacation Packages,0.63
AD700,Business Class,Luxury Hotel Deals,0.37
AD334,Budget Travelers,Exclusive Business Class Offers!,0.45
AD582,Budget Travelers,Special Discounts on Flights!,0.24
AD887,Business Class,Budget-Friendly Vacation Packages,0.46
AD896,Budget Travelers,Special Discounts on Flights!,0.33
AD800,Business Class,Luxury Hotel Deals,0.46
AD797,Budget Travelers,Luxury Hotel Deals,0.13
AD896,Frequent Travelers,Exclusive Business Class Offers!,0.45
AD241,Budget Travelers,Luxury Hotel Deals,0.71
AD721,Frequent Travelers,Special Discounts on Flights!,0.6
AD932,Business Class,Exclusive Business Class Offers!,0.56
AD157,Budget Travelers,Budget-Friendly Vacation Packages,0.33
AD118,Business Class,Budget-Friendly Vacation Packages,0.69
AD147,Business Class,Special Discounts on Flights!,0.17
AD367,Budget Travelers,Luxury Hotel Deals,0.53
AD651,Business Class,Special Discounts on Flights!,0.68
AD576,Business Class,Exclusive Business Class Offers!,0.15
AD661,Frequent Travelers,Budget-Friendly Vacation Packages,0.55
AD845,Budget Travelers,Special Discounts on Flights!,0.39
AD655,Business Class,Budget-Friendly Vacation Packages,0.11
AD703,Business Class,Exclusive Business Class Offers!,0.19
AD750,Business Class,Special Discounts on Flights!,0.49
AD763,Budget Travelers,Budget-Friendly Vacation Packages,0.61
AD655,Budget Travelers,Budget-Friendly Vacation Packages,0.26
AD880,Business Class,Luxury Hotel Deals,0.77
AD978,Budget Travelers,Exclusive Business Class Offers!,0.66
AD197,Budget Travelers,Luxury Hotel Deals,0.4
AD709,Frequent Travelers,Budget-Friendly Vacation Packages,0.62
AD728,Frequent Travelers,Luxury Hotel Deals,0.48
AD140,Budget Travelers,Budget-Friendly Vacation Packages,0.41
AD481,Frequent Travelers,Special Discounts on Flights!,0.13
AD840,Business Class,Luxury Hotel Deals,0.33
AD674,Frequent Travelers,Special Discounts on Flights!,0.38
AD991,Budget Travelers,Special Discounts on Flights!,0.4
AD196,Business Class,Budget-Friendly Vacation Packages,0.16
AD596,Budget Travelers,Special Discounts on Flights!,0.7
AD569,Frequent Travelers,Budget-Friendly Vacation Packages,0.32
AD452,Business Class,Luxury Hotel Deals,0.33
AD803,Business Class,Special Discounts on Flights!,0.71
AD629,Budget Travelers,Budget-Friendly Vacation Packages,0.77
AD604,Budget Travelers,Exclusive Business Class Offers!,0.35
AD385,Frequent Travelers,Luxury Hotel Deals,0.25
AD698,Business Class,Special Discounts on Flights!,0.53
AD376,Frequent Travelers,Luxury Hotel Deals,0.19
AD171,Budget Travelers,Special Discounts on Flights!,0.12
AD533,Business Class,Exclusive Business Class Offers!,0.14
AD980,Frequent Travelers,Exclusive Business Class Offers!,0.64
AD898,Frequent Travelers,Special Discounts on Flights!,0.35
AD108,Business Class,Exclusive Business Class Offers!,0.56
